full_model_0
50 epochs, no oversampling, no spec augment, random crop, with scheduler, no focal loss, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=64
epoch,train_loss,val_loss,val_mAP
95,0.0263,0.0462,0.3806
96,0.0264,0.0462,0.3846
97,0.0266,0.0466,0.385

full_model_4
100 epochs, with oversampling, no spec augment, no focal loss, middle crop, scheduler, bias initialization, early stopping with patience 10, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0564,0.0616,0.1217
2,0.0499,0.0546,0.1728
3,0.047,0.0518,0.2035
4,0.0451,0.0496,0.2277
5,0.0435,0.0484,0.248
6,0.0423,0.0506,0.2526
7,0.0413,0.0516,0.2614
8,0.0405,0.0491,0.2776
9,0.0394,0.0476,0.2829
10,0.0389,0.0464,0.2947
11,0.0382,0.048,0.2997
12,0.0375,0.0482,0.2963
13,0.0369,0.0464,0.3096
14,0.0364,0.0484,0.2979
15,0.0362,0.0457,0.3196
16,0.0354,0.0499,0.3146
17,0.0352,0.0474,0.3136
18,0.0346,0.0456,0.3187
19,0.0344,0.0461,0.3303
20,0.034,0.0461,0.3277
21,0.0337,0.0464,0.3286
22,0.0333,0.0469,0.3268
23,0.0328,0.0468,0.327
24,0.0324,0.0468,0.3339
25,0.0323,0.0448,0.3364
26,0.0321,0.0465,0.3402
27,0.0318,0.046,0.341
28,0.0317,0.0465,0.342
29,0.0312,0.0454,0.3446
30,0.0311,0.0464,0.3457
31,0.0307,0.0469,0.3482
32,0.0308,0.0447,0.3482
33,0.0305,0.0491,0.3504
34,0.0304,0.0449,0.3567
35,0.03,0.0446,0.3543
36,0.0298,0.0464,0.3561
37,0.0296,0.0471,0.3537
38,0.0294,0.0469,0.3566
39,0.0293,0.0465,0.3582
40,0.0292,0.0447,0.3598
41,0.0289,0.0458,0.3658
42,0.0287,0.0458,0.3592
43,0.0286,0.0466,0.3554
44,0.0282,0.0475,0.3596
45,0.0285,0.0468,0.36
46,0.0282,0.046,0.3609
47,0.028,0.0472,0.3647
48,0.0278,0.0455,0.3665
49,0.0277,0.0471,0.3651
50,0.0275,0.0467,0.3672
51,0.0274,0.0459,0.367
52,0.0272,0.0461,0.3677
53,0.0272,0.0462,0.3677
54,0.0271,0.0465,0.3656
55,0.027,0.0467,0.3647
56,0.0269,0.0458,0.3685
57,0.0268,0.0471,0.3675
58,0.0266,0.048,0.3686
59,0.0266,0.0452,0.3705
60,0.0265,0.0467,0.37
61,0.0264,0.0467,0.3689
62,0.0263,0.0468,0.369
63,0.026,0.0464,0.3724
64,0.0262,0.0458,0.3705
65,0.0259,0.048,0.3706
66,0.0258,0.0463,0.3708
67,0.0258,0.0479,0.3694
68,0.0256,0.0463,0.3727
69,0.0257,0.0459,0.3724
70,0.0255,0.0461,0.3722
71,0.0255,0.0464,0.3729
72,0.0254,0.0466,0.3737
73,0.0253,0.0465,0.3745
74,0.0253,0.0479,0.3718
75,0.0253,0.0457,0.3743
76,0.0252,0.0466,0.3737
77,0.0253,0.0469,0.3746
78,0.0251,0.0464,0.3756
79,0.025,0.0468,0.3735
80,0.025,0.0465,0.375
81,0.0248,0.0477,0.3746
82,0.025,0.0467,0.3753
83,0.0249,0.0468,0.3762
84,0.0248,0.0472,0.3759
85,0.0248,0.0474,0.3757
86,0.0247,0.0476,0.377
87,0.0248,0.0471,0.3753
88,0.0248,0.0466,0.3773
89,0.0248,0.0469,0.3763
90,0.0244,0.0468,0.3754
91,0.0249,0.0464,0.3757
92,0.0246,0.0466,0.3759
93,0.0246,0.0465,0.3763
94,0.0249,0.047,0.3759
95,0.0246,0.0468,0.377
96,0.0244,0.0467,0.3769
97,0.0246,0.0479,0.3759
98,0.0244,0.0475,0.377

full_model_6
10 epochs, 4 blocks, new classifier, with oversampling, no spec augment, no focal loss, middle crop, scheduler, bias initialization, early stopping with patience 10, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0521,0.0506,0.1944
2,0.0428,0.0478,0.2463
3,0.0385,0.0472,0.2725
4,0.0355,0.0447,0.3117
5,0.0333,0.0437,0.3336
6,0.0312,0.044,0.3371
7,0.0296,0.0427,0.3622
8,0.0282,0.045,0.354
9,0.0269,0.0413,0.374
10,0.0258,0.044,0.3734
11,0.0248,0.0405,0.3963
12,0.0237,0.0418,0.3873
13,0.0228,0.0409,0.4048
14,0.0222,0.0413,0.4019
15,0.0212,0.0408,0.4092
16,0.0206,0.0403,0.4156
